time,coin,stablecoin,value
2021-04-03,ADA,0,-0.0229309410639171
2021-04-04,ADA,0,0.0153455696746604
2021-04-05,ADA,0,0.0250639686632163
2021-04-06,ADA,0,0.0340665545636063
2021-04-07,ADA,0,-0.0659217208048243
2021-04-08,ADA,0,0.0376141290932299
2021-04-09,ADA,0,-0.0140440143861187
2021-04-10,ADA,0,0.0132233331746895
2021-04-11,ADA,0,0.0362796740806487
2021-04-12,ADA,0,0.0403468222613739
2021-04-13,ADA,0,0.0718784380726625
2021-04-14,ADA,0,0.0279152808857555
2021-04-15,ADA,0,0.0184117031878778
2021-04-16,ADA,0,-0.0470349487049734
2021-04-17,ADA,0,-0.0280090122852163
2021-04-18,ADA,0,-0.0709196041891284
2021-04-19,ADA,0,-0.0670958670682656
2021-04-20,ADA,0,0.0592465332038106
2021-04-21,ADA,0,-0.0525798418456213
2021-04-22,ADA,0,-0.0502447098804263
2021-04-23,ADA,0,0.0121529273514117
2021-04-24,ADA,0,-0.0271114112817476
2020-08-22,ALGO,0,0.0617096649370934
2020-08-23,ALGO,0,0.0836860951563212
2020-08-24,ALGO,0,0.0258794479878207
2020-08-25,ALGO,0,-0.114357459315145
2020-08-26,ALGO,0,-0.0213979215175552
2020-08-27,ALGO,0,-0.0533808378780312
2020-08-28,ALGO,0,0.0233075448936976
2020-08-29,ALGO,0,0.0005617451697198
2020-08-30,ALGO,0,-0.0302160754801997
2020-08-31,ALGO,0,-0.0313566744396618
2020-09-01,ALGO,0,0.0288453237524301
2020-09-02,ALGO,0,-0.107942828261299
2020-09-03,ALGO,0,-0.281595626395379
2020-09-04,ALGO,0,0.069754051352438
2020-09-05,ALGO,0,-0.0925709256680498
2020-09-06,ALGO,0,0.094167519940151
2020-09-07,ALGO,0,-0.0096180276566765
2020-09-08,ALGO,0,-0.0648786237086237
2020-09-09,ALGO,0,0.168331280291728
2020-09-10,ALGO,0,-0.0004842615106743
2020-09-11,ALGO,0,-0.0048555570026804
2020-09-12,ALGO,0,-0.0053684853191323
2020-09-13,ALGO,0,-0.0796757576357817
2020-09-14,ALGO,0,0.0110673066396816
2020-09-15,ALGO,0,-0.0753585522227139
2020-09-16,ALGO,0,0.0156997898096838
2020-09-17,ALGO,0,-0.0083799373067508
2020-09-18,ALGO,0,-0.0571419136873217
2020-09-19,ALGO,0,0.0156184108955764
2020-09-20,ALGO,0,-0.0402738991379399
2020-09-21,ALGO,0,-0.135403114937346
2020-09-22,ALGO,0,0.0657577148791171
2020-09-23,ALGO,0,-0.132413032768909
2020-09-24,ALGO,0,0.0914414404624224
2020-09-25,ALGO,0,0.0768728838130313
2020-09-26,ALGO,0,0.0236476483006749
2020-09-27,ALGO,0,-0.0139342709745462
2020-09-28,ALGO,0,0.0191482070310558
2020-09-29,ALGO,0,0.0381141407070273
2020-09-30,ALGO,0,0.0215563255096667
2020-10-01,ALGO,0,-0.0354928001467003
2020-10-02,ALGO,0,-0.0599903052712207
2020-10-03,ALGO,0,-0.0003171079779227
2020-10-04,ALGO,0,-0.0102009172742816
2020-10-05,ALGO,0,0.0199848046934943
2020-10-06,ALGO,0,-0.106617586847877
2020-10-07,ALGO,0,0.0682005707440856
2020-10-08,ALGO,0,0.0061818970256686
2020-10-09,ALGO,0,0.0634635030325605
2020-10-10,ALGO,0,-0.005494519317641
2020-10-11,ALGO,0,0.0145854910188929
2020-10-12,ALGO,0,0.0393367291636206
2020-10-13,ALGO,0,-0.0055256793206632
2020-10-14,ALGO,0,-0.0447301756182721
2020-10-15,ALGO,0,-0.0404535557436236
2020-10-16,ALGO,0,-0.0471402082169992
2020-10-17,ALGO,0,0.0436409204089525
2020-10-18,ALGO,0,0.0060365552650136
2020-10-19,ALGO,0,-0.0387520235122427
2020-10-20,ALGO,0,-0.0555134060664593
2020-10-21,ALGO,0,0.0492375803485046
2020-10-22,ALGO,0,0.0475586952504823
2020-10-23,ALGO,0,-0.022688303445265
2020-10-24,ALGO,0,-0.0048598832085111
2020-10-25,ALGO,0,-0.0186860050918154
2020-10-26,ALGO,0,-0.0377657826671469
2020-10-27,ALGO,0,-0.0086281812233381
2020-10-28,ALGO,0,-0.0428459940546395
2020-10-29,ALGO,0,-0.0712177967314884
2020-10-30,ALGO,0,-0.0113304591714487
2020-10-31,ALGO,0,-0.0226514751255531
2020-11-01,ALGO,0,0.0413363316795941
2020-11-02,ALGO,0,-0.0481925795500542
2020-11-03,ALGO,0,-0.0544719976368628
2020-11-04,ALGO,0,0.0215607591065776
2020-11-05,ALGO,0,0.0381584755950446
2020-11-06,ALGO,0,0.107532069171334
2020-11-07,ALGO,0,-0.0676767252821739
2020-11-08,ALGO,0,0.0297277988714026
2020-11-09,ALGO,0,-0.0224045824854724
2020-11-10,ALGO,0,0.106972119552168
2020-11-11,ALGO,0,-0.0390550953986795
2020-11-12,ALGO,0,-0.0443865267432941
2020-11-13,ALGO,0,0.0504677474158266
2020-11-14,ALGO,0,-0.0530968569114607
2020-11-15,ALGO,0,-0.0332663058855101
2020-11-16,ALGO,0,0.0533712273014217
2020-11-17,ALGO,0,0.0124543734363423
2020-11-18,ALGO,0,-0.0269339284333854
2020-11-19,ALGO,0,-0.0071308239858491
2020-11-20,ALGO,0,0.0684151779749604
2020-11-21,ALGO,0,0.109817679932196
2020-11-22,ALGO,0,-0.0624186979051244
2020-11-23,ALGO,0,0.12027722029049
2020-11-24,ALGO,0,0.0631060560298717
2020-11-25,ALGO,0,-0.0454169155462938
2020-11-26,ALGO,0,-0.126957075265698
2020-11-27,ALGO,0,-0.0036563112031105
2020-11-28,ALGO,0,0.0414212155508686
2020-11-29,ALGO,0,0.0120674694001177
2020-11-30,ALGO,0,0.0353525187157195
2020-12-01,ALGO,0,-0.0638481237255357
2020-12-02,ALGO,0,0.105035682132151
2020-12-03,ALGO,0,-0.0035149421074445
2020-12-04,ALGO,0,-0.0440917121598872
2020-12-05,ALGO,0,0.0516918656681016
2020-12-06,ALGO,0,-0.0194066660952035
2020-12-07,ALGO,0,-0.0167668598570669
2020-12-08,ALGO,0,-0.0956121577622291
2020-12-09,ALGO,0,0.0154939641479133
2020-12-10,ALGO,0,-0.0400453906922145
2020-12-11,ALGO,0,-0.0178637522564202
2020-12-12,ALGO,0,0.0699398521908117
2020-12-13,ALGO,0,-0.0009700890008952
2020-12-14,ALGO,0,0.0125383414020825
