coinfrom,cointo,corr
LEO,CRO,0.11677996370234113
LINK,CRO,0.3899464809823733
LTC,CRO,0.4598526170830183
MIOTA,CRO,0.42033810337350436
MKR,CRO,0.25380630458658665
NEO,CRO,0.31338927414127166
OKB,CRO,0.28487659918552366
OMG,CRO,0.35276343565656554
ONT,CRO,0.39149646820532685
SNX,CRO,0.2674379419794852
THETA,CRO,0.25910895938752904
TRX,CRO,0.32358711335464424
TUSD,CRO,-0.07561742756889064
UMA,CRO,0.25586319165047716
USDC,CRO,-0.1364599858226992
USDT,CRO,-0.08851084138916908
VET,CRO,0.3334059256360559
WBTC,CRO,0.47137888727429056
XEM,CRO,0.3948367737538324
XLM,CRO,0.41603052485475117
XMR,CRO,0.3005015356353509
XRP,CRO,0.3152431101799286
XTZ,CRO,0.4564954929324402
YFI,CRO,0.25692499885493403
ZEC,CRO,0.4069200269878581
ADA,CTC,0.001498351621540904
ALGO,CTC,0.024625198443027758
ATOM,CTC,-0.009206910068289819
BCH,CTC,0.019866247819031842
BNB,CTC,0.024646298635494435
BSV,CTC,0.04396531904895069
BTC,CTC,0.105068468302601
BUSD,CTC,-0.028219500554317954
CRO,CTC,0.06929722174811478
CTC,CTC,1.0
DAI,CTC,-0.009801071423129507
DASH,CTC,0.04102274838195209
DOT,CTC,0.02870607478107343
EOS,CTC,0.05977922433445807
ETC,CTC,0.060934916810526665
ETH,CTC,0.0254585813087113
FTT,CTC,0.06035629926003494
HEDG,CTC,0.029150005213748192
HEX,CTC,-0.0238433569197438
HT,CTC,0.04730539985681635
LEO,CTC,-0.02048947333964084
LINK,CTC,-0.022758711464573735
LTC,CTC,0.045773705405457714
MIOTA,CTC,0.05366394465263748
MKR,CTC,-0.007520913093529637
NEO,CTC,0.0200595962986262
OKB,CTC,0.08776197646383356
OMG,CTC,0.01097835399087652
ONT,CTC,-0.004010202723195665
SNX,CTC,0.06325736805931882
THETA,CTC,0.004038492184969045
TRX,CTC,0.06249607737087516
TUSD,CTC,0.055410823654970257
UMA,CTC,0.0036400620393771265
USDC,CTC,-0.03336571137131795
USDT,CTC,0.001698429878043378
VET,CTC,0.0035464926748219835
WBTC,CTC,0.09955550295495373
XEM,CTC,0.005785570195657135
XLM,CTC,0.02015526568097314
XMR,CTC,0.009669553611159237
XRP,CTC,0.02746866241880051
XTZ,CTC,0.014262771658964828
YFI,CTC,0.009136642311758201
ZEC,CTC,-0.0038310312978903547
ADA,DAI,0.06157992540934778
ALGO,DAI,0.081105786824696
ATOM,DAI,0.030248806754865912
BCH,DAI,0.0010419389896994466
BNB,DAI,-0.011804735907007325
BSV,DAI,0.03669241923132039
BTC,DAI,-0.0026757380719873414
BUSD,DAI,0.08773677787007113
CRO,DAI,0.00679617307732023
CTC,DAI,-0.009801071423129507
DAI,DAI,1.0
DASH,DAI,-0.017868607104907064
DOT,DAI,0.04622676577097563
EOS,DAI,0.01930813852759993
ETC,DAI,0.036217290375014574
ETH,DAI,0.09386200351103205
FTT,DAI,0.04483591658703925
HEDG,DAI,0.041907273345407815
HEX,DAI,0.03490623567031312
HT,DAI,-0.03214933614622938
LEO,DAI,-0.126258086978075
LINK,DAI,0.05834975244482241
LTC,DAI,0.029165728239563305
MIOTA,DAI,0.028906415451336716
MKR,DAI,0.0738768400427546
NEO,DAI,0.0630912615755167
OKB,DAI,-0.04710817649555886
OMG,DAI,0.04475639830488097
ONT,DAI,0.03530938166020582
SNX,DAI,0.11850274504002936
THETA,DAI,-0.028663142737469737
TRX,DAI,0.15208805282561347
TUSD,DAI,0.028568756728247328
UMA,DAI,0.04995675697728305
USDC,DAI,0.13124933687702603
USDT,DAI,0.20432643806803036
VET,DAI,0.03793945913916068
WBTC,DAI,-0.014745498237441184
XEM,DAI,0.024162938661023724
XLM,DAI,0.028853485184400236
XMR,DAI,0.007374215647058166
XRP,DAI,0.0142882146767671
XTZ,DAI,0.021938838563972954
YFI,DAI,0.14854141574845942
ZEC,DAI,-0.009946719205203385
ADA,DASH,0.4193715933078514
ALGO,DASH,0.4645847842968462
ATOM,DASH,0.45768736725347464
BCH,DASH,0.71080346150446
BNB,DASH,0.44576544511535016
BSV,DASH,0.6098424741514759
BTC,DASH,0.529747081649421
BUSD,DASH,-0.08438940599837828
CRO,DASH,0.3898742315926057
CTC,DASH,0.04102274838195209
DAI,DASH,-0.017868607104907064
DASH,DASH,1.0
DOT,DASH,0.3184432487715272
EOS,DASH,0.666274442252088
ETC,DASH,0.668667959664527
ETH,DASH,0.5423777246959317
FTT,DASH,0.5318226253631557
HEDG,DASH,0.1405678494268816
HEX,DASH,0.08675361732910247
HT,DASH,0.43146411858084893
LEO,DASH,0.1723706747963526
LINK,DASH,0.5445651165147961
LTC,DASH,0.6513988121112863
MIOTA,DASH,0.6513581299247446
MKR,DASH,0.3514813719721665
NEO,DASH,0.6216995004163848
OKB,DASH,0.2991957354316547
OMG,DASH,0.5951328610677401
ONT,DASH,0.6737967173572935
SNX,DASH,0.3900386202397355
THETA,DASH,0.37352509835166325
TRX,DASH,0.4990139954104246
TUSD,DASH,-0.01612855349553534
UMA,DASH,0.35111928921851276
USDC,DASH,-0.057746664162682405
USDT,DASH,-0.07991738002589008
VET,DASH,0.4858685685386151
WBTC,DASH,0.49493569940007626
XEM,DASH,0.2256609497723952
XLM,DASH,0.5039627599434238
XMR,DASH,0.6964311650337
XRP,DASH,0.4207545825449367
XTZ,DASH,0.6338975838121578
YFI,DASH,0.3430653308732466
ZEC,DASH,0.8376996451614871
ADA,DOT,0.44967706980253686
ALGO,DOT,0.49052879183732745
ATOM,DOT,0.49411094861111754
BCH,DOT,0.3872467092488282
BNB,DOT,0.3370118739428488
BSV,DOT,0.33175733261330537
BTC,DOT,0.46398576904082167
BUSD,DOT,-0.015586727951984257
CRO,DOT,0.3371005824829847
CTC,DOT,0.02870607478107343
DAI,DOT,0.04622676577097563
DASH,DOT,0.3184432487715272
DOT,DOT,1.0
EOS,DOT,0.37658488854183475
ETC,DOT,0.23335886402062414
ETH,DOT,0.539871426339577
FTT,DOT,0.48690913580436873
HEDG,DOT,0.3229634469390224
HEX,DOT,0.13420103649832027
HT,DOT,0.25970897512399466
LEO,DOT,0.15198696698160266
LINK,DOT,0.5266864993892862
LTC,DOT,0.4386091145535079
MIOTA,DOT,0.4380790275809368
MKR,DOT,0.3453822473406735
NEO,DOT,0.3775493874846394
OKB,DOT,0.25491623993303475
OMG,DOT,0.3605291627783338
ONT,DOT,0.40520244716791837
SNX,DOT,0.3969143550207553
THETA,DOT,0.3593918088972324
TRX,DOT,0.3963313718920499
TUSD,DOT,0.021812426032435786
UMA,DOT,0.35418942190426295
USDC,DOT,-0.04631232704130539
USDT,DOT,0.16500130161130455
VET,DOT,0.4033237836336119
WBTC,DOT,0.47894515813173255
XEM,DOT,0.2599639724787262
XLM,DOT,0.3160388918317265
XMR,DOT,0.34054495845975163
XRP,DOT,0.23178657507282482
XTZ,DOT,0.4925902822921094
YFI,DOT,0.4230513534537447
ZEC,DOT,0.4036764133889733
ADA,EOS,0.5385060899816773
ALGO,EOS,0.5929500386643268
ATOM,EOS,0.5211378626920837
BCH,EOS,0.7793237320081008
BNB,EOS,0.47269833760999436
BSV,EOS,0.793906295885871
BTC,EOS,0.5637654536084586
BUSD,EOS,-0.07821560564615675
CRO,EOS,0.4557307990908401
CTC,EOS,0.05977922433445807
DAI,EOS,0.01930813852759993
DASH,EOS,0.666274442252088
DOT,EOS,0.37658488854183475
EOS,EOS,1.0
ETC,EOS,0.5372594564441845
ETH,EOS,0.6418128792860524
FTT,EOS,0.5839754467646832
HEDG,EOS,0.1867991504855139
HEX,EOS,0.08069249774240955
HT,EOS,0.4645157888858339
LEO,EOS,0.10799658284298311
LINK,EOS,0.6778705421546396
LTC,EOS,0.698114742128878
MIOTA,EOS,0.7116756575332657
MKR,EOS,0.4820759780795881
NEO,EOS,0.6300039355957229
OKB,EOS,0.38004380083679495
OMG,EOS,0.6705229808859164
ONT,EOS,0.744914163925837
SNX,EOS,0.4555101588227272
THETA,EOS,0.32767678750254065
TRX,EOS,0.6124109303847093
TUSD,EOS,-0.022194662713358675
UMA,EOS,0.3840583773865724
USDC,EOS,-0.03342478971897429
USDT,EOS,0.04750818383300785
VET,EOS,0.6094784852447122
WBTC,EOS,0.5307938287286168
XEM,EOS,0.27200683404870835
XLM,EOS,0.6778369289527196
XMR,EOS,0.45835908135161807
XRP,EOS,0.5965929486390318
XTZ,EOS,0.7634500181380254
YFI,EOS,0.3963600424458438
ZEC,EOS,0.6689760780205405
ADA,ETC,0.30096621993839495
ALGO,ETC,0.37012673507853855
ATOM,ETC,0.2519707068259818
BCH,ETC,0.6427679993397237
BNB,ETC,0.27306146167192424
BSV,ETC,0.5313071773666239
BTC,ETC,0.3642131325492828
BUSD,ETC,-0.03922512425844176
CRO,ETC,0.28268780927960757
CTC,ETC,0.060934916810526665
DAI,ETC,0.036217290375014574
DASH,ETC,0.668667959664527
DOT,ETC,0.23335886402062414
EOS,ETC,0.5372594564441845
ETC,ETC,1.0
ETH,ETC,0.45106801587389017
FTT,ETC,0.4010073074485177
HEDG,ETC,0.08689883573250913
HEX,ETC,0.07168913888794669
HT,ETC,0.30086720518302806
LEO,ETC,0.05433427498428179
LINK,ETC,0.40535501437870514
LTC,ETC,0.5405691520015746
MIOTA,ETC,0.5142215656561167
MKR,ETC,0.2788846436665969
NEO,ETC,0.5872823219083402
OKB,ETC,0.21158714812852275
OMG,ETC,0.49854619680027734
ONT,ETC,0.5702151699774702
SNX,ETC,0.3542725939893116
THETA,ETC,0.2517981163836644
TRX,ETC,0.42047040616781917
TUSD,ETC,0.007629173997560149
UMA,ETC,0.3123718929030235
USDC,ETC,-0.010225155905567416
USDT,ETC,-0.017031389191060526
VET,ETC,0.4162419587540588
WBTC,ETC,0.3677388224558726
XEM,ETC,0.16016757068699763
XLM,ETC,0.413118538999115
XMR,ETC,0.49034232881799805
XRP,ETC,0.32610185466953195
XTZ,ETC,0.5116765673084575
YFI,ETC,0.36179372677394517
ZEC,ETC,0.5873686176233276
ADA,ETH,0.6200044768656121
ALGO,ETH,0.631835735309192
ATOM,ETH,0.5340814699676155
BCH,ETH,0.705502860743988
BNB,ETH,0.45919954045872036
BSV,ETH,0.5722874414963136
BTC,ETH,0.7094047423810897
BUSD,ETH,-0.15242610170136672
CRO,ETH,0.44642144189854255
CTC,ETH,0.0254585813087113
DAI,ETH,0.09386200351103205
DASH,ETH,0.5423777246959317
DOT,ETH,0.539871426339577
EOS,ETH,0.6418128792860524
ETC,ETH,0.45106801587389017
ETH,ETH,1.0
FTT,ETH,0.7494787112044113
HEDG,ETH,0.30843376926333643
HEX,ETH,0.13809027746135938
HT,ETH,0.3977765510409646
LEO,ETH,0.12555996293576455
LINK,ETH,0.7315394739470912
LTC,ETH,0.7380687987658079
MIOTA,ETH,0.6433175183187638
MKR,ETH,0.6163155263763416
NEO,ETH,0.5953789782152357
OKB,ETH,0.26749813311256615
OMG,ETH,0.6114130556630051
ONT,ETH,0.6126136925581657
SNX,ETH,0.6148345398642225
THETA,ETH,0.35400754575491455
TRX,ETH,0.5275657613461999
TUSD,ETH,-0.059114875230402535
UMA,ETH,0.5522744136999486
USDC,ETH,-0.04505172515101304
USDT,ETH,0.10340850814039879
VET,ETH,0.6434566411262777
WBTC,ETH,0.6608563785060205
XEM,ETH,0.2867756679521082
XLM,ETH,0.5481672612546905
XMR,ETH,0.5067311935924294
XRP,ETH,0.40648520368962254
XTZ,ETH,0.684558607273912
YFI,ETH,0.5195551456688967
ZEC,ETH,0.6349335761268318
ADA,FTT,0.5624761880211533
ALGO,FTT,0.5540496192171311
ATOM,FTT,0.4950845113963774
BCH,FTT,0.5636605184794179
BNB,FTT,0.7732709564498502
BSV,FTT,0.4601011069631154
BTC,FTT,0.7415479574841956
BUSD,FTT,-0.1221526079977932
CRO,FTT,0.5488536649874929
CTC,FTT,0.06035629926003494
